4,876,42,16,26,34,5,21,24
2,877,44,12,14,8,42,29,7
2,877,18,23,17,43,5,22,12
4,878,38,12,43,18,9,16,21
4,878,16,2,6,11,25,31,3
4,879,1,7,38,40,29,42,2
4,879,35,15,4,14,10,1,20
5,880,16,12,40,17,22,9,38
5,880,23,24,45,19,7,17,38
2,881,12,26,16,29,14,32,19
2,881,32,4,27,18,20,26,9
5,882,40,23,41,31,3,42,4
5,882,39,18,45,34,43,44,23
1,883,20,17,15,9,18,30,3
1,883,37,18,44,32,33,9,22
1,884,39,35,6,45,25,24,30
1,884,4,28,45,37,23,14,17
1,885,17,12,21,9,6,37,28
1,885,24,1,39,45,3,27,31
5,886,26,21,42,45,3,19,7
5,886,23,28,42,19,45,37,2
1,887,11,8,36,25,35,4,13
1,887,36,17,14,27,45,8,10
4,888,4,8,13,45,27,30,10
4,888,38,7,34,12,3,31,32
3,889,43,26,40,41,10,28,23
3,889,42,3,13,29,38,39,26
3,890,40,6,11,44,24,3,4
3,890,4,1,18,14,29,37,6
2,891,13,42,36,45,10,21,7
2,891,9,13,31,39,41,28,19
5,892,17,4,18,22,16,41,32
5,892,9,17,42,18,4,26,36
3,893,45,39,5,13,3,29,43
3,893,15,25,17,1,41,23,10
2,894,4,17,27,3,2,9,22
2,894,40,43,37,32,41,19,45
2,895,13,9,14,11,29,4,31
2,895,38,39,31,16,41,26,23
5,896,24,32,19,5,35,23,30
5,896,26,5,45,12,25,38,23
5,897,40,26,36,20,34,9,3
5,897,36,12,26,7,22,6,29
5,898,42,36,21,28,15,18,16
5,898,37,21,35,28,42,18,17
4,899,23,12,6,17,10,14,35
4,899,20,21,8,39,19,33,37
1,900,9,43,12,14,40,45,2
1,900,13,16,18,35,38,7,14
3,901,15,1,8,43,37,27,6
3,901,5,23,30,18,34,20,21
1,902,38,22,29,16,41,42,30
1,902,19,23,39,36,24,7,30
3,903,6,5,19,39,14,26,37
3,903,15,2,21,16,22,28,45
2,904,3,28,6,43,42,17,21
2,904,8,6,43,26,45,2,11
4,905,20,19,29,44,16,24,35
4,905,4,40,38,16,3,27,20
4,906,38,29,5,24,2,27,7
4,906,28,5,31,2,14,32,20
5,907,39,17,20,15,24,2,31
5,907,44,27,38,21,29,40,37
4,908,3,14,8,12,4,28,21
4,908,3,21,44,16,23,22,30
2,909,22,29,30,5,17,3,32
2,909,34,24,35,7,30,29,33
2,910,37,26,21,2,45,29,38
2,910,39,17,11,27,35,1,31
3,911,33,38,34,5,15,17,25
3,911,4,5,12,14,42,32,35
5,912,40,41,15,29,8,19,26
5,912,5,21,22,8,18,38,10
4,913,36,20,7,22,27,28,40
4,913,21,16,27,37,14,6,40
5,914,22,23,37,4,42,27,6
5,914,44,42,24,16,33,19,27
2,915,10,41,26,12,20,15,2
2,915,37,22,13,2,11,6,14
5,916,18,25,32,6,2,27,39
5,916,21,36,35,6,22,32,17
1,917,36,20,1,35,43,9,19
1,917,27,23,43,24,1,3,34
3,918,11,12,36,28,3,24,29
